text	label
 . it's a testament to the film's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . there's a sheer unbridled delight in the way the story unfurls . . . 	1
too stagey , talky -- and long -- for its own good . 	1
it's not that their lives are not turning out as expected - it's that they're turning out exactly as expected . 	0
"unlike cinderella though , ella must depend on herself and her intelligence to get her through her troubles and find lucinda in order for her "" curse "" to be broken ! "	0
however , he can only inhabit the body of a child for a short time . 	0
chris jones ( malik yoba ) is a strong , independent , black man who finds himself lost on a desolate road . 	0
elvis teams up with jack ( ossie davis ) , a fellow nursing home resident who thinks that he is actually president john f . kennedy , and the two valiant old codgers sally forth to battle an evil egyptian entity who has chosen their long-term care facility as his happy hunting grounds . 	0
this stuck pig of a movie flails limply between bizarre comedy and pallid horror . 	1
like the best of godard's movies . . . it is visually ravishing , penetrating , impenetrable . 	1
lucy walks away from him , deciding to take time to make this decision for herself . 	0
to imagine the life of harry potter as a martial arts adventure told by a lobotomized woody allen is to have some idea of the fate that lies in store for moviegoers lured to the mediocrity that is kung pow : enter the fist . 	1
the art direction and costumes are gorgeous and finely detailed , and kurys' direction is clever and insightful . 	1
chilling in its objective portrait of dreary , lost twenty-first century america . 	1
the work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them . strange occurrences build in the mind of the viewer and take on extreme urgency . 	1
[cuar�n has] created a substantive movie out of several cliched movie structures : the road movie , the coming-of-age movie , and the teenage sex comedy . 	1
a master at being everybody but himself he reveals to his friend and confidant saiid ( isa totah ) the truth behind his struggles . 	0
a few months later , both parties realize their mistake and find out that 'getting back what you had' is not so easy . 	0
one of the greatest romantic comedies of the past decade . 	1
and could going through with it destroy their marriages and friendships ? 	0
despite a well-placed sense of historical outrage , fence isn't one-sided . 	1
though mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium . 	1
his loving wife maya vows to help get him out of jail . 	0
martin is going on a blinddate and in his internal government the ministers are preparing for a routine state visit . 	0
at its best , the good girl is a refreshingly adult take on adultery . . . 	1
in its dry and forceful way , it delivers the same message as jiri menzel's closely watched trains and danis tanovic's no man's land . 	1
in return for a small plot of land , george agrees to search for princess lunna . 	0
bret packard is the best baseball player in the world . 	0
these three girls are part of what is referred to today as the 'stolen generations . ' 	0
having transplanted herself to hawaii with no one's blessing but her own , anne marie finds all she needs in the adrenaline-charged surf scene . . . 	0
"the situation brews to a head when a sneak collector , conan ( masterson ) discovers a large collection of perfectly-preserved classic comics , leading the two shops to vie to acquire them , along with a "" villain "" ( elwes ) who hopes to steal them first . "	0
in venice , italy , a team of expert theives pulls a daring heist of 35 million dollars in bars of gold . 	0
rice is too pedestrian a filmmaker to bring any edge or personality to the rising place that would set it apart from other deep south stories . 	1
stripped almost entirely of such tools as nudity , profanity and violence , labute does manage to make a few points about modern man and his problematic quest for human connection . 	1
if you're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you're at the right film . 	1
 . . . begins on a high note and sustains it beautifully . 	1
little do they know but help is on the way and this friday will get freaky ! 	0
rebecca falls in love with lukas and soon feels more comfortable in the commune than she does at home . 	0
people are becoming petrified , and no-one knows what is doing it . 	0
it all leads to more tragedy and the movie jumps to 12 years later . 	0
during this time he becomes wracked by horrific and surreal visions that begin to fuel his work . 	0
though jones and snipes are enthralling , the movie bogs down in rhetoric and clich� . 	1
arriving in the us with a phony passport , she was imprisoned by the ins for one year while her asylum case was being tried . 	0
curling may be a unique sport but men with brooms is distinctly ordinary . 	1
when tony takes her on a private cruise from greece to italy , amber is unimpressed at this impromptu no-frills vacation , and takes out her anger on the ship's first mate , giuseppe ( adriano giannini ) . 	0
he enters an unknown world of rituals and cutural perceptions , and fixes everything in his own unique way . 	0
"in this movie , steven seagal and ja rule get put in the "" new alcatraz "" apparently because ja rule kills a cop . "	0
meanwhile , maguire ( jude law ) , another hit man who had done some work for mr . rooney in the past is sent to kill sullivan . 	0
then she buys a bar of chocolate from the neighborhood store . . . 	0
harry is watching over his dying wife and waiting for the gun to arrive . 	0
outrageousness is all plympton seemed to be going for this time . we miss the quirky amazement that used to come along for an integral part of the ride . 	1
a fascinating , unnerving examination of the delusions of one unstable man . 	1
i was hoping that it would be sleazy and fun , but it was neither . 	1
a young boy is devastated when the planned vacation with his father is cancelled due to an emergency salvage mission at a remote canadian lake . 	0
the mystery of enigma is how a rich historical subject , combined with so much first-rate talent . . . could have yielded such a flat , plodding picture . 	1
offers big , fat , dumb laughs that may make you hate yourself for giving in . ah , what the hell . 	1
but for rachel , this love stirs not only untested emotions , but forces her to confront her past . 	0
certain to be distasteful to children and adults alike , eight crazy nights is a total misfire . 	1
when they come through , will is left with a decision . 	0
a woman who again is able to let love into her heart . 	0
he tries to recapture the past , and make some sense of his life , that of his friends and family , and the present state of his native country . 	0
director roger michell mounts this thriller as an action-packed , sometimes tongue-in-cheek celebrity death match . 	1
this painter's block has lead to a desperate man obsessed with the need to paint , leaving the artist in a state of disarray . 	0
been there , done that , liked it much better the first time around - when it was called the professional . 	1
"comes off like a rejected abc afterschool special , freshened up by the dunce of a screenwriting 101 class . . . . designed to provide a mix of smiles and tears , "" crossroads "" instead provokes a handful of unintentional howlers and numerous yawns . "	1
elegantly produced and expressively performed , the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy . 	1
now faced with the discovery of a bloodied body , a flaming liquor store just off native land that sells millions of cans of beer a year to the native population , and his brother's ongoing self-destruction , rudy goes on a quest to avenge himself , his family , and his culture and to seek justice . 	0
viewed as a travelogue of the little-known indian community that prospers on a little-known island , trinidad , the mystic masseur is successful . 	1
try as you might to resist , if you've got a place in your heart for smokey robinson , this movie will worm its way there . 	1
quite simply , a joy to watch and--especially--to listen to . 	1
the weakest of the four harry potter books has been transformed into the stronger of the two films by the thinnest of margins . 	1
he can talk and drive around all by himself . 	0
a band of college students go to a rave on a mysterious island and get more than they bargained for when they find themselves stalked by killer zombies and terrifying creatures intent on feasting on the flesh of the living . 	0
he has returned as a ghost , but he can do nothing but passively observe as the police stand clueless to the murder . 	0
national lampoon's van wilder was better than we expected ; a 'not a total waste of money' kind of dateflick for those just hitting pre-collegiate years . 	1
retired fbi profiler terry mccaleb ( eastwood ) , who has recently had a heart transplant , is hired by graciela rivers ( de jesus ) , to investigate the death of her sister , gloria , who happens to have given mccaleb his heart . 	0
lucy is a theater student at the city university . 	0
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring . 	1
a fascinating documentary that provides a rounded and revealing overview of this ancient holistic healing system	1
occupied france 1944 : in the castle , their local headquarters , the german officers decide to organize a party . 	0
there are some fairly unsettling scenes , but they never succeed in really rattling the viewer . 	1
for the future , one hopes mr . plympton will find room for one more member of his little band , a professional screenwriter . 	1
the cast fits very convincingly into the nightmarish landscape of a ravaged country . 	1
the two leads are almost good enough to camouflage the dopey plot , but so much naturalistic small talk , delivered in almost muffled exchanges , eventually has a lulling effect . 	1
you might not buy the ideas . but you'll definitely want the t-shirt . 	1
a squad of british soldiers on training in the lonesome scottish wilderness find a wounded special forces captain and the carnaged remains of his team . 	0
she ultimately decides to pursue her lifelong dream of opening her own dance studio for inner-city youths . 	0
it's a compelling and horrifying story , and the laramie project is worthwhile for reminding us that this sort of thing does , in fact , still happen in america . 	1
morrissette has performed a difficult task indeed - he's taken one of the world's most fascinating stories and made it dull , lifeless , and irritating . 	1
and what makes lucky invaluable is his ability to teach mudd how to write again . 	0
not just unlikable . disturbing . disgusting . without any redeeming value whatsoever . 	1
parker cannot sustain the buoyant energy level of the film's city beginnings into its country conclusion	1
lanie's professional success means she must be a failure at life , because she's driven by ambition and doesn't know how to have fun . 	1
if the movie is finally stuck halfway been cinema and prose , miller proves that it's not an unfertile place to linger . 	1
the two black men ( anthony and michael ) are successful in the high tech world of silicon valley , and have known each other since childhood . 	0
reign of fire may well be the most grim dragon movie ever made -- and it's all the more effective for the filmmakers' decision to play it straight . 	1
amerika and zed aim to free their friend from the clutches of his nutburger girlfriend by enlisting the aid of the sappho carpet cleaners for some wet work . 	0
the movie features veteran horror heroines leslie culton and jenny wallace , and actors john saenz and jonathan tabor . 	0
friday after next takes place back in the hood during the christmas season , craig and day-day are now living in a rundown apartment . 	0
celebrates family in a way that's deeply felt by the director and screenwriter/subject and no doubt will be shared by viewers of any ethnicity . 	1
postponing his desire to play basketball on the school team , steve finds an after-school job to support himself and pursues a relationship with the affluent but unhappy sally ( arielle paul ) . 	0
one tragic night , john rescues angela from a wicked act of betrayal . 	0
this indie drama resonantly demonstrates how a person's worth is weighed in a town where you're only as good as your last game . 	1
static , repetitive , muddy and blurry , hey arnold ! would seem to have a lock on the title of ugliest movie of the year . 	1
his father and brother are dead for so many years . 	0
it briefly flirts with player masochism , but the point of real interest -� audience sadism -- is evaded completely . 	1
she meets ian miller , a high school english teacher , wasp , and dreamboat she had made a fool of herself over at the restaurant ; they date secretly for a while before her family finds out . 	0
however , the babies turned out to be both women . 	0
undercover brother doesn't go far enough . it's just a silly black genre spoof . 	1
a well-rounded tribute to a man whose achievements -- and complexities -- reached far beyond the end zone . 	1
mark pellington's latest pop thriller is as kooky and overeager as it is spooky and subtly in love with myth . 	1
chock full of ethnic flavor , whimsy , doubt , faith , joy and wonder , mary and joe is a delightful surprise , as the old story is brought into the present with startling freshness and power . 	0
trademark american triteness and simplicity are tossed out the window with the intelligent french drama that deftly explores the difficult relationship between a father and son . 	1
rupi who is totally devoted to kanna does try to convince ghisu . 	0
[a] superbly controlled , passionate adaptation of graham greene's 1955 novel . 	1
14-year-old meredith attempts to maintain a religious vow of silence during a thanksgiving dinner with her agnostic family . 	0
functions as both a revealing look at the collaborative process and a timely , tongue-in-cheek profile of the corporate circus that is the recording industry in the current climate of mergers and downsizing . 	1
but their cultural difference further separates them as lando ( antonio aquitania ) , isabel's boyfriend , enters into the picture . 	0
ultimately she discovers that what appears on the surface to be true quite often is not . 	0
but now there is a new threat , matt addison has fully mutated into a seemingly unstoppable creature , code named nemesis , who will stop at nothing until everything around it is dead , but it also has another agenda . 	0
an un-relentless action film that will attract , through word of mouth , all those hooked on gaming on their pc's and drag them back into the cinema auditoriums . 	0
it takes us finally to the comedy clubs that for so many years we saw only at the beginning and end of seinfeld . 	1
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline . 	1
enough is not a bad movie , just mediocre . the performances are so overstated , the effect comes off as self-parody . 	1
harris commands the screen , using his frailty to suggest the ravages of a life of corruption and ruthlessness . 	1
henrik , the young cook , is hopelessly in love with enchanting elena , but lacks the courage to dance with her . 	0
this is a true documentry of art versus money-driven media conglomerates . 	0
he has to rescue them and save new york city from an imminent nuclear terrorist act . 	0
meanwhile the kids find a stray dog who needs a home . 	0
"after making an incredible career in the international narcotics world during 1984-1992 , bettien was arrested at piazza navona in rome as one of the targets of the international police operation "" green ice "" . "	0
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis . 	1
though it lacks the utter authority of a genre gem , there's a certain robustness to this engaging mix of love and bloodletting . 	1
if you sometimes like to go to the movies to have fun , wasabi is a good place to start . 	1
"igby slocumb , a rebellious and sarcastic seventeen year-old boy , is at war with the oppressive world of his east coast "" old money "" family . "	0
but what if it's lord voldemort trying to make his evil return ? 	0
all of the elements are in place for a great film noir , but director george hickenlooper's approach to the material is too upbeat . 	1
bruce is a down on his luck tv news reporter . 	0
testud is the burning center of a clinically dispassionate film . 	1
meanwhile , on a distant planet , alien authorities have captured the most dangerous of all criminals and are sending him via rocket to a prison planet . 	0
the two leads , nearly perfect in their roles , bring a heart and reality that buoy the film , and at times , elevate it to a superior crime movie . 	1
detective kuroda tries to find the answer , which isn't as simple as one could hope . 	0
the story focuses on an ambitious young executive , amanda , who inherits a lovely b&#38 ; b on a remote island in maine when her grandmother dies . 	0
matters are complicated still further when beckinsale finds herself falling in love with oldman's character . 	0
an excellent date movie , because you and your date will likely be clinging on to each other within 10 minutes . 	1
as she makes her way through the dazed world of the city's junkies , only one person seems able to provide any help : the obsessive and self-destructive miles , the last of the city's security officers . 	0
less funny than it should be and less funny than it thinks it is . 	1
a diverting detour into the gonzo outlook of a humorist who actually has something on his mind . 	1
lauren hynde ( shannyn sossamon ) is technically a virgin . 	0
when two african american pilots become the first non-white soldiers in the camp , one turns up murdered and the other accused of killing a white sergeant . 	0
piccoli's performance is amazing , yes , but the symbols of loss and denial and life-at-arm's-length in the film seem irritatingly transparent . 	1
slow and ponderous , but rohmer's drama builds to an intense indoor drama about compassion , sacrifice , and christian love in the face of political corruption . 	1
writer/director david caesar ladles on the local flavour with a hugely enjoyable film about changing times , clashing cultures and the pleasures of a well-made pizza . 	1
he has to learn to accept ian ; ian has to learn to accept toula's huge family , and toula has to learn to accept herself . 	0
the inside story sees dean olsen ( curry ) finding a mysterious book in the cellar of his uncle's ( tingwell ) old house . 	0
a witty coming-of-middle-age comedy with hilarious performances by first-time director tony shalhoub and wife brooke adams . 	1
soon , annie's condition helps leoncio's children realize the essence of a family . 	0
it measures a students ability to lie , cheat , fight and kill . 	0
annie , an alluring lady , catches the eye of old widower leoncio . 	0
meena's growing up - and that brings plenty of changes . 	0
bobby quickly learns however , that smith is no regular john , and their meeting has unintended consequences that neither of them is prepared to afford . 	0
director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth . 	1
does paint some memorable images . . . , but makhmalbaf keeps her distance from the characters	1
"paulie , a pot smoking proctologist who has a list of pre-requisites for dating which reads like "" war and peace . "" "	0
jacki resolves to play this one last gig and then throw in the towel if she does not find success . 	0
her slutty roommate , lara ( jessica biel ) , has the hots for victor as well . 	0
451 tries to help kyle adjust to this unfamiliar and violent world but kyle is a man destined to fight his own battles . 	0
joe enders , a decorated marine who is by-the-book to a fault , is just coming back on duty ( by cheating on his medical tests ) . 	0
using his audience as a figurative port-of-call , dong pulls his even-handed ideological ship to their dock for unloading , before he continues his longer journey still ahead . 	1
it is life affirming and heartbreaking , sweet without the decay factor , funny and sad . 	1
little does caroline realize that this delicious parisian beauty is a modern-day vampire looking for vunerable victims . 	0
not only are the film's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this 'we're -doing-it-for -the-cash' sequel were . 	1
making matters worse , vince is having trouble discerning reality from memory . 	0
a thoroughly awful movie--dumb , narratively chaotic , visually sloppy . . . a weird amalgam of 'the thing' and a geriatric 'scream . '	1
perhaps even the slc high command found writer-director mitch davis's wall of kitsch hard going . 	1
but things did not work as he planned , until . . . 	0
da primeira seq��ncia de luta � piada que encerra a hist�ria , o espectador jamais desgruda os olhos da tela , saindo do cinema com a sensa��o de que gastou bem seu dinheiro . 	1
considering the harsh locations and demanding stunts , this must have been a difficult shoot , but the movie proves rough going for the audience as well . 	1
somewhat blurred , but kinnear's performance is razor sharp . 	1
whenever you think you've figured out late marriage , it throws you for a loop . 	1
" "" the institute "" is also for the once-famous , who , having bottomed out , also have no where else to turn but brookdale . "	0
the only thing scary about feardotcom is that the filmmakers and studio are brazen enough to attempt to pass this stinker off as a scary movie . 	1
it's a glorious groove that leaves you wanting more . 	1
what saves it . . . and makes it one of the better video-game-based flicks , is that the film acknowledges upfront that the plot makes no sense , such that the lack of linearity is the point of emotional and moral departure for protagonist alice . 	1
on the surface , the film is played straight , with sustained tension and effective frights . but the director has done his research , and fills every scene with a subversive humor that's 100% pure imitation hitchcock . 	1
this cheery , down-to-earth film is warm with the cozy feeling of relaxing around old friends . 	1
the world around him seemingly comes to a stop ; everything and everybody becomes frozen in time . 	0
while there prove to be a lot of pitches to be thrown before he makes it off the mound , big-league dreams are revived , and there's no telling where he could go . 	0
though lan yu lacks a sense of dramatic urgency , the film makes up for it with a pleasing verisimilitude . 	1
a mimetic approximation of better films like contempt and 8 1/2 . 	1
the three roommates have proudly scammed their way through the last four years of college and now , during the final exams , these big-men-on-campus are about to be busted by the most unlikely dude in school . 	0
first kammy meets the 40-year-old danny ( dave wong ) and falls head over heels . 	0
but josh , is not interested in call girls and one-night stands . 	0
brings back nick tellis , fired 18-months ago when a stray bullet hits a pregnant woman . 	0
as they become jaded by watching these brutal fights , and betting becomes boring , the bosses realize that they need to take the fights to a new limit . 	0
 . . . a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . 	1
amanda is faced with making right decisions amidst trying circumstances . 	0
later on , when frode is safely tucked in bed , something is stirring in the closet , because that little monster puppet is no ordinary puppet . 	0
kids five and up will be delighted with the fast , funny , and even touching story . parents may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults . 	1
"it concludes with a laramie staging of "" angels in america "" a year after shephard's death . "	0
the laser-projected paintings provide a spell-casting beauty , while russell and dreyfus are a romantic pairing of hearts , preciously exposed as history corners them . 	1
her paranoia seeps insidiously into her newfound fantasy life and overwhelms it - destroying everything in its wake . 	0
based on a david leavitt story , the film shares that writer's usual blend of observant cleverness , too-facile coincidence and slightly noxious preciousness . 	1
born and raised in the city , sang-woo quickly comes into conflict with his old-fashioned grandmother and his new rural surroundings . 	0
as a young teenager , he finds out who his father is . 	0
"taylor williams iii , a wealthy seventeen year old meets his dream "" lavender "" girl ( mandi carson , who comes from a lower-middle class ) for the very first time at mr . dodson's business education class at seaport-greene high school . "	0
even people clueless about skateboarding can enjoy dogtown and z-boys . 	1
toes the fine line between cheese and earnestness remarkably well ; everything is delivered with such conviction that it's hard not to be carried away . 	1
anton jackson is an african-american man who seems harmless enough on the surface , but is a secret agent in the all-black brotherhood , an entity that levels the playing field against the all-white establishment . 	0
a very familiar tale , one that's been told by countless filmmakers about italian- , chinese- , irish- , latin- , indian- , russian- and other hyphenate american young men struggling to balance conflicting cultural messages . 	1
and may bring claire face to face with her past . 	0
"frank spens his days paying for his past sins and steve wants to be dean martin in "" oceans 11 "" . "	0
the movie barely makes sense , with its unbelievable na�vet� and arbitrary flashbacks . 	1
writer/director burr steers knows how to show irony , the trouble with kids , and new yorkers taking casual sex for granted . 	1
penny's love for her partner , taxi-driver phil , has run dry . 	0
a somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race . 	1
by contrast , tom finds her world increasingly seductive , and as fatal gradually loses the only person she trusts , she discovers destiny has other plans . 	0
if you have an uneasy tummy , this movie is not for you ! 	0
he proposes stealing artworks from her clients and convinces her that they could be quickly fenced . 	0
skin deep is a psychological thriller about love , sex , race , and betrayal involving an interracial couple , a black couple , and a mistress . 	0
like the series , the movie is funny , smart , visually inventive , and most of all , alive . 	1
the pianist [is] a supremely hopeful cautionary tale of war's madness remembered that we , today , can prevent its tragic waste of life . here is a divine monument to a single man's struggle to regain his life , his dignity and his music . 	1
in the early years , mitra is repeatedly punished as the warden tries to break her . 	0
cho's latest comic set isn't as sharp or as fresh as i'm the one that i want . . . but it's still damn funny stuff . 	1
but he strongly believed testing was needed for all actors &#38 ; actresses in the porn industry . 	0
while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle . 	1
they invite a group of prostitutes , among them irma whose fianc&#233 ; has just been executed by the germans . 	0
hundert's challenge is to change this young man while maintaining his integrity . 	0
painful , horrifying and oppressively tragic , this film should not be missed . 	1
from naboo to tatooine , it grows into love for her . 	0
"it is only natural for "" the shu "" to flourish under the care of corrupt and powerful men like battista . "	0
as soon as they blow yakavetta away , it is revealed that the macmanus father and sons have been hiding out deep in the glens and valleys of ireland for three years . 	0
"he has been hired by an american known only as "" wall street "" ( see rule two ) to make a delivery , but when frank stops along route , he notices his "" package "" is moving . "	0
